cerl_control_number|title|publication_year|language_primary|publication_place|publication_country|publisher
144222|THE PLAYS OF William Shakspeare, COMPLETE IN EIGHT VOLUMES. VOLUME VII., CONTAINING HENRY VI. PART I. HENRY VI. PART II. HENRY VI. PART III. RICHARD III. HENRY VIII. ENGRAVINGS TO THIS VOLUME ARE, TWO SCENES TO EACH PLAY, AND TWO ALLEGORIES. ALLEGORIES. 1. THE HISTORIC MUSE DICTATING TO SHAKSPEARE. 2. THE HISTORIC MUSE AT THE TOMB OF SHAKSPEARE|1791|English|London|England|Printed for Bellamy and Robarts, No. 138, Fleet-Street, and at No.4, Peterborough-court, Fleet-Street
144798|POEMS|1774|English|London|England|Publish'd for J. Bell : & C. Etherington
147017|Mr. William Shakespeares Comedies, histories, and tragedies. Published according to the true originall coppies|1632|English|London|England|Printed by Tho. Cotes, for Robert Allot, and are to be sold at his shop at the signe of the Blacke Beare in Pauls Church-yard
147666|Hamlets bekende alleenspraak na Shakespears Engelsch gevolgd|1783|Dutch|NA|NA|NA
148043|Macbeth. Tragedi af Shakspeare. Öfversatt af Eric Gustaf Geijer. Upsala, 1813. Hos Stenhammar och Palmblad|1813|Swedish|Uppsala|Sweden|Stenhammar : Palmblad)
148485|The beauties of Shakespeare|1821|English|London|England|Chiswick Press
148528|The merchant of Venice|1773|English|London|England|J. Bell;C. Etherington
151051|The dramatic works of William Shakespeare ... Whittingham's edition|1814|English|London|England|NA
157197|The ingratitude of a common-wealth|1682|English|London|England|Printed by T. M. for Joseph Hindmarsh, at the Black-Bull in Cornhill
159935|The late, and much admired play, called Pericles, Prince of Tyre|1630|English|London|England|Printed by I. N. for R. B. and are to be sould at his shop in Cheapside, at the signe of the Bible
162108|Antony and Cleopatra|1811|English|London|England|Printed for Longman, Hurst, Rees, Orme, and Brown
162457|De muntra fruarna i Windsor. Lustspel af William Shakspeare. Öfversättning af Joh. Henr. Thomander. Stockholm, Georg Scheutz, 1825|1825|Swedish|Stockholm|Sweden|Scheutz)
162902|The merchant of Venice|1734|English|London|England|Printed for J. Tonson
162903|The first part of Henry VI|1735|English|London|England|Printed for J. Tonson
162931|The merchant of Venice|1800|English|Manchester|England|Printed and sold by R. & W. Dean; [etc.,etc.]
169860|Giulio Cesare tragedia di Shakspeare recata in italiano da Ignazio Valletta|1829|Italian|Firenze|Italy|nella stamperia Piatti
174440|Riccardo 3. tragedia di G. Shakspeare, recata in versi italiani da Michele Leoni di Parma|1815|Italian|Firenze|Italy|presso Gio. Marenigh
177441|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected; with notes, explanatory, and critical: by Mr. Theobald. Printed verbatim from the octavo edition|1773|English|London|England|Printed for C. Bathurst, J. Beecroft, W. Strahan, J. and F. Rivington [etc.]
181240|The plays of William Shakspeare. .|1801|English|Basel|Switzerland|printed and sold J. J. Tourneisen
218455|Mr William Shakespeare his comedies, histories, and tragedies|1768|English|London|England|Printed by Dryden Leach, for J. and R. Tonson in the Strand
219526|Romeo and Juliet.|1758|English|London|England|Printed for J. and R. Tonson in the Strand
219527|Othello, the Moor of Venice|1771|English|London|England|Printed for Hawes, Clarke and Collins, E. Johnson, J. Rivington, T. Longman, T. Caslon, R. Baldwin, T. Lownds, C. Corbet, S. Bladon, and W. Woodfall
223441|King Lear|1770|English|London|England|Printed by W. and J. Richardson: and sold by B. White, in Fleet-Street
225549|Julius Caesar|1691|English|London|England|printed by H.H. Jun. for Hen Herringman and R. Bentley in Russel-street in Covent Garden, and sold by Joseph Knight and Francis Saunders at the Blew Anchor in the lower walk of the New-exchange in the Strand
225666|Modern characters from Shakespear. Alphabetically arranged|1778|English|London|England|NA
231570|The dramatick works of William Shakespeare|1802|English|Boston Ma|USA|Printed by Munroe & Francis
231760|Hamlet, prince of Denmark|1750|English|London|England|Printed for D. Williams, in St. Paul's Church-yard
232472|Hamlet|1815|German|Leipzig|Germany|F.A. Brockhaus
237408|Hamlet, and As you like it|1820|English|London|England|J. Murray
240031|The history of Henrie the fourth|1613|English|London|England|printed by W.W. for Mathew Law, and are to be sold at his shop in Paules Churchyard, neere vnto S. Augustines gate, at the signe of the Foxe
245674|Saggio delle bellezze di Shakespeare scelte dalle commedie e messe in versi italiani dal dottor Giuseppe Busi|1828|Italian|Bologna|Italy|tipografia di Emidio dall'Olmo in fondo alla via Inferno al n. 2704
260055|The works of Shakespeare: in eight volumes. Collated with the oldest copies, and corrected: with notes, explanatory, and critical: by Mr. Theobald|1757|English|London|England|printed for C. Hitch and L. Hawes : H. Lintot : J. and R. Tonson : J. Hodges : B. Dod : J. Rivington : M. and T. Longman : J. Brindley : C. Corbet, and T. Caston
272994|Chefs d'oeuvre... traduits... en vers blancs, en vers rimés et en prose, suivis de poésies diverses... revus par M. de Chênedollé [Texte imprimé|1826|French|Paris|France|NA
273453|Shakespeare traduit de l'anglois... [Texte imprimé|1776|French|Paris|France|NA
273712|Chefs-d'oeuvres, traduits... en vers blancs, en vers rimés et en prose,... par feu A. Bruguière, Bon de Sorsum,... revus... [Texte imprimé|1826|French|Paris|France|NA
275770|Shakespeare traduit de l'anglois... [Texte imprimé|1776|French|Paris|France|NA
278838|Shakespeare, traduit de l'anglois [Texte imprimé|1776|French|Paris|France|NA
281673|The works... collated and corrected... The 2d edition [Texte imprimé|1728|English|London|England|NA
283321|Chefs d'oeuvre de Shakespeare, traduits, conformément au texte original, en vers blancs, en vers rimés et en prose, suivis de poésies diverses par feu A. Bruguière, Bon de Sorsum,... revus par M. de Chênedollé [Texte imprimé|1826|French|Paris|France|Dondey-Dupré
283322|Shakespeare traduit de l'anglois (Par Le Tourneur, le Comte de Catuelan et Fontaine-Malherbe) [Texte imprimé|1776|French|Paris|France|Vve Duchesne, etc
283323|Shakespeare, traduit de l'anglois. [Par Le Tourneur Catuelan et Fontaine-Malherbe.] [Texte imprimé|1776|French|Paris|France|Vve Duchesne
289013|The works of Mr. William Shakespear|1728|English|London|England|NA
311124|The merry wives of Windsor; with the amours of sir John Falstaff. A comedy|1711|English|London|England|f. the company
311832|The history of Henrie the fourth|1604|English|London|England|Printed by Valentine Simmes, for Mathew Law, and are to be solde at his shop in Paules Churchyard, at the signe of the Fox
314843|The life and death of King Lear .|1734|English|London|England|Printed for J. Tonson
314858|The winter's tale|1808|English|London|England|Longman, Hurst, Rees and Orme
314874|The comedy of errors|1779|English|London|England|Printed for Harrison and Co., [etc.]
314904|King Lear|1807|English|London|England|NA
315989|The plays. 10 volumes|1804|English|Lepsick|NA|(Fleischer)
317538|The whole contention betweene the two famous houses, Lancaster and Yorke|1619|English|London|England|for T.P
317539|The most excellent historie of the merchant of Venice|1600|English|London|England|NA
322811|The dramatick works of William Shakespeare|1807|English|Boston Ma|USA|Printed by Munroe & Francis
322845|Mr. William Shakespeares Comedies] pp. 1-36|1632|English|London|England|Printed by Tho. Cotes
323420|A collection of poems|1709|English|London|England|Printed for B.L. and sold by O. Lloyd, near the church, in the Temple
323551|The Jew of Venice|1701|English|London|England|Printed for Ber. Lintott
324123|De dolle bruyloft. Bly-eyndend'-spel|1654|Dutch|Amsterdam|Netherlands|pr. T. Houthaak f. D.C. Houthaak
325297|The tragoedy of Othello|1687|Undetermined|London|England|Bentley
325752|The most excellent historie of the Merchant of Venice|1600|Undetermined|London|England|Heyes
325753|King Richard the second|1615|Undetermined|London|England|Law
326807|The tragicall historie of Hamlet Prince of Denmarke|1605|Undetermined|London|England|L[ing]
328098|Julius Cæsar|1684|English|London|England|Printed by H.H. Jun. for Hen. Herringman, and R. Bentley in Russel street in Covent-Garden, and sold by Joseph Knight and Francis Saunders at the Blue-Anchor in the lower walk of the New-Exchange in the Strand
328383|William Shakspeare's Tragiske værker|1807|Danish|Copenhagen|Denmark|Trykt paa Fr. Brummers forlag, hos Z. Breum
328391|The winter's tale|1826|English|London|England|J. Cumberland
331131|Hamlet, Prinz von Denemark|1782|Undetermined|Hamburg|Germany|NA
331868|The puritaine or the widdow of Watlingstreete|1607|Undetermined|London|England|Eld
333042|Lucrece|1600|Undetermined|London|England|Harison
333043|A wittie and pleasant comedie called The taming of the Shrew|1631|Undetermined|London|England|Smethwicke
334364|The historie of Henry the Fourth|1639|English|London|England|Printed by John Norton, and are to be sold by Hvgh Perry, at his shop next to Ivie-Bridge in the Strand
338233|Lucrece|1594|Undetermined|London|England|Harrison
338234|The tragedy of King Richard the third|1605|Undetermined|London|England|Creede
340612|Othello, the Moor of Venice|1687|English|London|England|NA
344514|The history of Henrie the fourth|1622|Undetermined|London|England|P[urfoot]
344515|The cronicle history of Henry the fift|1602|Undetermined|London|England|Pavier
348843|The Plays Of William Shakspeare|1778|English|London|England|Bathurst, Strahan, Rivington, Hinton; Davis [u.a.]
349702|Shakspeare's Othello und König Lear|1806|German|Jena|Germany|Frommann
350630|The works of Shakespear in eight volumes|1747|English|London|England|Birt [u.a.];Knapton
350954|The Plays and Poems of William Shakspeare|1790|English|London|England|Rivington [u.a.]
351085|The plays of William Shakespeare|1773|English|London|England|Bathurst;Beecroft
351210|The works of Shakespeare|1772|English|London|England|Crowder;Wase & Payne
351221|The Plays Of William Shakespeare|1768|English|London|England|Woodfall [u.a.]
351240|The dramatic works of Shakspeare|1802|English|London|England|Boydell [u.a.];Bulmer
351468|The Dramatic Works Of William Shakspeare|1801|English|Brunswick Ma|USA|Hahn
351883|The Plays of William Shakspeare|1811|English|London|England|Nichols and Son;Rivington;Stockdale [u.a.]
352232|König Lear|1794|German|Leipzig|Germany|Hilscher
352664|Der Sturm|1825|German|Vienna|Austria|Sollinger
353883|The Plays Of William Shakspeare|1801|English|Basel|Switzerland|Tourneisen
355047|The Plays of Shakespeare|1771|English|Dublin|Ireland|Ewing
361273|The dramatic works of William Shakespeare|1821|English|London|England|Walker [u.a.]
363382|The works of Shakespear in eight volumes. The genuine text (collated with all the former editions, and then corrected and emended) is here settled; being restored from the blunders of the first editors and the interpolations of the two last: with a comment and notes, critical and explanatory. By Mr. Pope and Mr. Warburton|1747|Undetermined|London|England|NA
364575|The troublesome raigne of King John|1611|Undetermined|London|England|NA
364576|Shakespeares Hamlet|1806|German|Leipzig|Germany|Jacobäer
387873|Mr. William Shakespeares Comedies, Histories, & Tragedies|1623|English|London|England|Aspley;Blount;Jaggard;Smithweeke
387877|Die Kunst eine Widerbellerinn zu zähmen. Die Komödie der Irrungen. Kritischer Anhang zum Siebenten Bande des Deutschen Shakespear|1779|Undetermined|Strasbourg|France|Franz Levrault
388587|The Plays of Wiliam Shakespeare|1805|English|Leipzig|Germany|Fleischer
388588|The Plays of Wiliam Shakespeare|1812|English|Leipzig|Germany|Fleischer
394983|Shakspeare's Schauspiele|1819|German|Leipzig|Germany|Brockhaus;Froebel
394984|Shakspeare's Schauspiele|1828|German|Stuttgart|Germany|Metzler
395858|Coriolanus, or the Roman matron|1808|English|London|England|Longman, Hurst, Rees & Orme
395869|The plays of William Shakespeare, in eight volumes, with the corrections and illustrations of various commentators; to which are added notes by S. Johnson|1765|English|London|England|Corbet;Tonson;Woodfall [u.a.]
397238|The plays of William Shakespeare|1804|English|London|England|Sharpe and Symonds
397371|The Plays Of William Shakespeare|1768|English|London|England|Woodfall [u.a.]
397372|The Dramatic Works Of Shakspeare|1786|English|Oxford|England|Clarendon Press
397434|The Plays and Poems Of William Shakspeare|1821|English|London|England|Rivington [u.a.]
397603|Willhelm Shakespears Schauspiele|1780|German|Mannheim|Germany|NA
397610|Hamlet by William Shakspeare, accurately printed from the text of Mr. Steevens's last edition with a selection of the most important notes|1812|English|Leipzig|Germany|Fleischer
398825|The Dramatic Works Of William Shakspeare|1825|English|London|England|Cowie And Co.;Saunders And Otley
398828|Wilhelm Shakespears Schauspiele|1779|German|Frankfurt|Germany|Gegel;Levrault
398858|Otello|1830|Italian|Firenze|Italy|Piatti
401364|The Tragedy Of Locrine, The Eldest Son Of King Brutus|1734|English|London|England|Tonson
402395|William Shakespeare's Schauspiele|1799|German|Zürich|Germany|Orell, Füßli & Co
404442|The Plays of Wiliam Shakespeare|1805|English|Leipzig|Germany|Fleischer
405318|The late, and much admired play, called Pericles, prince of Tyre .|1630|English|London|England|Printed by I.N. for R.B
406109|Timon of Athens|1788|English|London|England|Printed for, and under the direction of, John Bell, British Library, Strand
411132|Shakspeare's Much ado about nothing|1815|English|London|England|J. Miller
411719|The works of William Shakespeare .|1795|English|Glasgow|Scotland|Printed for J. & A. Duncan, J. & M. Robertson, and J. & W. Shaw
411733|Pericles, Prince of Tyre|1734|English|London|England|Printed for J. Tonson
414310|The works of Shakespeare|1768|English|Birmingham|England|Printed by R. Martin
414447|The tragedie of King Richard the second|1608|English|London|England|printed by W.W. for mathew Law, and are to be sold at his shop in Paules Church-yard, at the signe of the Foxe
414891|King John|1819|English|London|England|Pub. for the Proprietors, by W. Simpkin, and R. Marshall [etc.]
420422|The tempest, or, The enchanted island|1695|English|London|England|NA
420501|The late, and much admired play, called Pericles, Prince of Tyre|1619|English|London|England|Printed for T.P. [i.e. Thomas Pavier, by William Jaggard]
420597|Othello|1785|English|London|England|Printed for, and under the direction of, John Bell, British-Library, Strand
420598|Winter's tale|1820|English|Dublin|Ireland|Printed by D.S. Maurice; sold by T. Hughes, J. Bysh; and J. Cumming
423728|Modern Characters for 1778|1778|English|London|England|NA
427226|Oeuvres complètes de Shakspeare, traduites de l'anglais par Letourneur. Tome 1. (-13.|1821|French|Paris|France|chez Ladvocat, libraire, au Palais-Royal
427245|The dramatic works of William Shakespeare, from the correct edition of Isaac Reed, Esq. With copious annotations. Vol. 1. (-12.) - Stereotype edition|1825|English|Dublin|Ireland|J. Cumming;J. Sutherland;printed for J. Walker : G. Offor : Sharpe and sons
428080|Macbetto : *tragedia|1815|Italian|Pisa|Italy|presso Capurro
428322|William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth|1809|English|Avignon|France|printed and sold by Seguin freres
428323|William Shakspeare's selected plays, from the last edition of Johnson and Steevens; with brief explanatory notes, extracted from various commentators. Volume the first (-the sixth|1809|English|Avignon|France|printed and sold by Seguin freres
431852|Macbetto tragedia di G. Shakspeare recata in versi italiani da Michele Leoni di Parma|1815|Italian|Pisa|Italy|presso Niccolò Capurro
439691|Le roi Léar, tragédie en cinq actes; de W. Shakespeare. Conforme aux représentations données à Paris. Anglais-français|1828|French|Paris|France|chez Madame Vergne, libraire-éditeur, place de l'Odéon, N° 1
443371|Otello o Il moro di Venezia, tragedia di G. Shakspeare, recata in versi italiani da Michele Leoni da Parma|1814|Italian|Firenze|Italy|per Vittorio Alauzet
443811|The dramatic works of W. Shakespeare, from the text of Johnson, Steevens and Reed. With a biographical memoir, summary remarks on each play, copious glossary, and variorum notes. Embellished with a portrait of Shakspeare|1829|English|Paris|France|Baudry, et the foreign library, rue du Coq-Saint-Honoré : A. and W. Galignani, rue Vivienne, n° 18 : Bobée and Hingray, rue de Richelieu, n° 14
457860|The Works of Mr. William Shakespear [sic] [Texte imprimé|1714|Undetermined|London|England|J. Tonson
463242|The Dramatic works of William Shakspeare [Texte imprimé|1821|English|London|England|Sherwin
468643|Macbeth|1783|German|Göttingen|Germany|bei Johann Christian Dieterich
468672|Shakspeare's dramatische Werke|1797|German|Berlin|Germany|Bei Johann Friedrich Unger
468722|Shakespear theatralische Werke|1762|German|Zürich|Germany|Bey Orell Gessner und Comp
469566|The plays of Shakspeare|1807|English|London|England|Printed for Longman, Hurst Rees and Orme
469571|The plays of William Shakspeare|1803|English|London|England|Printed for J. Johnson, R. Baldwin, H.L. Gardner, W. J. and J. Richardson ... [and 37 other firms, partnerships and individuals]
470159|Shake-speares Sonnets. Neuer before imprinted|1609|English|London|England|By G. Eld for T[homas]. T[horpe]. and are to be solde by Iohn Wright, dwelling at Christ Church gate
470160|Shake-speares Sonnets. Neuer before imprinted|1609|English|London|England|By G. Eld for T[homas]. T[horpe]. and are to be solde by William Aspley
